"id","Ammonium ( uM )","Avg_Chloro ( mg/m3 )","Avg_Phaeo ( mg/m3 )","Chl1 ( mg/m3 )","Chl2 ( mg/m3 )","Nitrate ( uM )","Nitrite ( uM )","Nitrite_Nitrate ( uM )","pDA ( ng/mL )","Phaeo1 ( mg/m3 )","Phaeo2 ( mg/m3 )","Phosphate ( uM )","Silicate ( uM )","Temp ( Celsius )","Salinity ( PSS )"
"HABs-MontereyWharf_2016-11-09T08:00:00Z",NA,6.08,NA,NA,NA,NA,NA,1.94,0.0718,NA,NA,0.5,9.28,16.5,NA
"HABs-MontereyWharf_2016-11-16T08:00:00Z",NA,8.3,NA,NA,NA,NA,NA,2.03,0.0028,NA,NA,0.47,12.03,16.4,NA
"HABs-MontereyWharf_2016-11-23T08:00:00Z",NA,8.24,NA,NA,NA,NA,NA,7.01,0,NA,NA,0.91,8.73,13.6,NA
"HABs-MontereyWharf_2016-11-30T08:00:00Z",NA,9.18,NA,NA,NA,NA,NA,6.27,0,NA,NA,0.53,8.53,13.4,NA
"HABs-MontereyWharf_2016-12-12T08:00:00Z",NA,5.06,NA,NA,NA,NA,NA,5.46,6e-04,NA,NA,0.71,7.12,13.3,NA
"HABs-MontereyWharf_2017-01-04T08:00:00Z",NA,5.68,NA,NA,NA,NA,NA,5.37,0.0138,NA,NA,0.52,6.31,12.1,NA
"HABs-MontereyWharf_2017-01-11T08:00:00Z",NA,4.99,NA,NA,NA,NA,NA,7.23,0.0012,NA,NA,0.73,8,12.4,NA
"HABs-MontereyWharf_2017-01-18T08:00:00Z",NA,7.65,NA,NA,NA,NA,NA,7.96,5e-04,NA,NA,0.97,11.56,12.6,NA
"HABs-MontereyWharf_2017-01-25T08:00:00Z",NA,4.2,NA,NA,NA,NA,NA,7.35,3e-04,NA,NA,0.82,11.07,12.6,NA
"HABs-MontereyWharf_2017-02-01T08:00:00Z",NA,3.3,NA,NA,NA,NA,NA,7.95,2e-04,NA,NA,0.79,10.67,13,NA
"HABs-MontereyWharf_2017-02-08T08:00:00Z",NA,2.96,NA,NA,NA,NA,NA,5.22,2e-04,NA,NA,0.71,9.23,13.2,NA
"HABs-MontereyWharf_2017-02-15T08:00:00Z",NA,7.01,NA,NA,NA,NA,NA,4.91,2e-04,NA,NA,0.63,9.11,14.2,NA
"HABs-MontereyWharf_2017-02-22T08:00:00Z",NA,4.17,NA,NA,NA,NA,NA,4.34,2e-04,NA,NA,0.51,8.29,12.9,NA
"HABs-MontereyWharf_2017-03-01T08:00:00Z",NA,6.64,NA,NA,NA,NA,NA,7.26,3e-04,NA,NA,0.68,16.44,13.6,NA
"HABs-MontereyWharf_2017-03-09T08:00:00Z",NA,12.21,NA,NA,NA,NA,NA,2.83,0,NA,NA,0.36,5.65,13.9,NA
"HABs-MontereyWharf_2017-03-15T07:00:00Z",NA,8.99,NA,NA,NA,NA,NA,1.18,0,NA,NA,0.31,2.15,14.4,NA
"HABs-MontereyWharf_2017-03-22T07:00:00Z",NA,5.65,NA,NA,NA,NA,NA,1.34,9e-04,NA,NA,0.24,1.63,13.4,NA
"HABs-MontereyWharf_2017-03-29T07:00:00Z",NA,5.6,NA,NA,NA,NA,NA,1.83,0.0024,NA,NA,0.34,4.53,14.1,NA
"HABs-MontereyWharf_2017-04-05T07:00:00Z",NA,6.79,NA,NA,NA,NA,NA,10.69,0.0021,NA,NA,0.68,12.77,13.1,NA
"HABs-MontereyWharf_2017-04-12T07:00:00Z",NA,18.9,NA,NA,NA,NA,NA,4.14,0.4019,NA,NA,0.45,10.41,12.8,NA
"HABs-MontereyWharf_2017-04-19T07:00:00Z",NA,13.12,NA,NA,NA,NA,NA,2.61,0.0757,NA,NA,0.44,4.43,13.9,NA
"HABs-MontereyWharf_2017-05-03T07:00:00Z",NA,11.53,NA,NA,NA,NA,NA,9.78,0.0166,NA,NA,1.05,14.58,14.5,NA
"HABs-MontereyWharf_2017-05-10T07:00:00Z",NA,5.38,NA,NA,NA,NA,NA,8.58,0.0185,NA,NA,0.89,15.68,12.5,NA
"HABs-MontereyWharf_2017-05-17T07:00:00Z",NA,12.5,NA,NA,NA,NA,NA,7.53,0.7076,NA,NA,1.05,11.93,12.7,NA
"HABs-MontereyWharf_2017-05-24T07:00:00Z",NA,95.5,NA,NA,NA,NA,NA,1.07,0.7076,NA,NA,0.41,6.14,13.2,NA
"HABs-MontereyWharf_2017-05-31T07:00:00Z",NA,18.6,NA,NA,NA,NA,NA,0.1,0.3517,NA,NA,0.17,3.1,14,NA
"HABs-MontereyWharf_2017-06-07T07:00:00Z",NA,37.6,NA,NA,NA,NA,NA,5.03,2.2362,NA,NA,0.6,8.13,14.1,NA
"HABs-MontereyWharf_2017-06-14T07:00:00Z",NA,13.56,NA,NA,NA,NA,NA,1.68,0.8473,NA,NA,0.36,3.21,14.3,NA
"HABs-MontereyWharf_2017-06-28T07:00:00Z",NA,11.54,NA,NA,NA,NA,NA,0.55,NA,NA,NA,0.24,5.21,16.6,NA
"HABs-MontereyWharf_2017-07-05T07:00:00Z",NA,24.3,NA,NA,NA,NA,NA,1.14,1.2646,NA,NA,0.26,0.87,15.1,NA
"HABs-MontereyWharf_2017-07-12T07:00:00Z",NA,22.46,NA,NA,NA,NA,NA,1.26,1.1035,NA,NA,0.41,3.86,14.4,NA
"HABs-MontereyWharf_2017-07-19T07:00:00Z",NA,46.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA
"HABs-MontereyWharf_2017-07-26T07:00:00Z",NA,35.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA
"HABs-MontereyWharf_2017-08-02T07:00:00Z",NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7,NA
"HABs-MontereyWharf_2017-08-09T07:00:00Z",NA,26.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,NA
"HABs-MontereyWharf_2017-08-16T07:00:00Z",NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA
"HABs-MontereyWharf_2017-08-23T07:00:00Z",NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA
"HABs-MontereyWharf_2017-08-30T07:00:00Z",NA,12.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,NA
"HABs-MontereyWharf_2017-09-06T07:00:00Z",NA,14.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,NA
"HABs-MontereyWharf_2017-09-13T07:00:00Z",NA,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA
"HABs-MontereyWharf_2017-09-20T07:00:00Z",NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
"HABs-MontereyWharf_2017-09-27T07:00:00Z",NA,23.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA
"HABs-MontereyWharf_2017-10-04T07:00:00Z",NA,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2017-10-11T07:00:00Z",NA,14.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA
"HABs-MontereyWharf_2017-10-18T07:00:00Z",NA,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA
"HABs-MontereyWharf_2017-10-25T07:00:00Z",NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA
"HABs-MontereyWharf_2017-11-01T07:00:00Z",NA,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA
"HABs-MontereyWharf_2017-11-08T08:00:00Z",NA,39.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"HABs-MontereyWharf_2017-11-15T08:00:00Z",NA,39.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA
"HABs-MontereyWharf_2017-11-22T08:00:00Z",NA,23.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA
"HABs-MontereyWharf_2017-11-29T08:00:00Z",NA,25.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA
"HABs-MontereyWharf_2017-12-06T08:00:00Z",NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,NA
"HABs-MontereyWharf_2017-12-20T08:00:00Z",NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA
"HABs-MontereyWharf_2018-01-03T08:00:00Z",NA,10.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA
"HABs-MontereyWharf_2018-01-10T08:00:00Z",NA,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"HABs-MontereyWharf_2018-01-17T08:00:00Z",NA,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA
"HABs-MontereyWharf_2018-01-24T08:00:00Z",NA,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"HABs-MontereyWharf_2018-01-31T08:00:00Z",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA
"HABs-MontereyWharf_2018-02-07T08:00:00Z",NA,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA
"HABs-MontereyWharf_2018-02-14T08:00:00Z",NA,32.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA
"HABs-MontereyWharf_2018-02-22T08:00:00Z",NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA
"HABs-MontereyWharf_2018-02-28T08:00:00Z",NA,12.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA
"HABs-MontereyWharf_2018-03-07T08:00:00Z",NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA
"HABs-MontereyWharf_2018-03-15T07:00:00Z",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA
"HABs-MontereyWharf_2018-03-21T07:00:00Z",NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA
"HABs-MontereyWharf_2018-03-28T07:00:00Z",NA,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA
"HABs-MontereyWharf_2018-04-11T07:00:00Z",NA,14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA
"HABs-MontereyWharf_2018-04-18T07:00:00Z",NA,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA
"HABs-MontereyWharf_2018-04-25T07:00:00Z",NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
"HABs-MontereyWharf_2018-05-02T07:00:00Z",NA,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA
"HABs-MontereyWharf_2018-05-09T07:00:00Z",NA,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2018-05-16T07:00:00Z",NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"HABs-MontereyWharf_2018-05-23T07:00:00Z",NA,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA
"HABs-MontereyWharf_2018-05-30T07:00:00Z",NA,57.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA
"HABs-MontereyWharf_2018-06-20T07:00:00Z",NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA
"HABs-MontereyWharf_2018-06-27T07:00:00Z",NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2018-07-11T07:00:00Z",NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA
"HABs-MontereyWharf_2018-07-18T07:00:00Z",NA,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,NA
"HABs-MontereyWharf_2018-07-25T07:00:00Z",NA,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA
"HABs-MontereyWharf_2018-08-01T07:00:00Z",NA,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA
"HABs-MontereyWharf_2018-08-08T07:00:00Z",NA,39.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"HABs-MontereyWharf_2018-08-15T07:00:00Z",NA,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA
"HABs-MontereyWharf_2018-08-22T07:00:00Z",NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA
"HABs-MontereyWharf_2018-08-29T07:00:00Z",NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA
"HABs-MontereyWharf_2018-09-05T07:00:00Z",NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2018-09-12T07:00:00Z",NA,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2018-09-19T07:00:00Z",NA,44.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA
"HABs-MontereyWharf_2018-09-26T07:00:00Z",NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,NA
"HABs-MontereyWharf_2018-10-03T07:00:00Z",NA,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA
"HABs-MontereyWharf_2018-10-10T07:00:00Z",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA
"HABs-MontereyWharf_2018-10-17T07:00:00Z",NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA
"HABs-MontereyWharf_2018-10-24T07:00:00Z",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA
"HABs-MontereyWharf_2018-10-31T07:00:00Z",NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA
"HABs-MontereyWharf_2018-11-07T08:00:00Z",NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA
"HABs-MontereyWharf_2018-11-14T08:00:00Z",NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA
"HABs-MontereyWharf_2018-12-19T08:00:00Z",NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA
"HABs-MontereyWharf_2019-01-09T08:00:00Z",NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA
"HABs-MontereyWharf_2019-01-16T08:00:00Z",NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA
"HABs-MontereyWharf_2019-03-13T07:00:00Z",NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA
"HABs-MontereyWharf_2019-03-20T07:00:00Z",NA,46.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA
"HABs-MontereyWharf_2019-03-28T07:00:00Z",NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,NA
"HABs-MontereyWharf_2019-04-03T07:00:00Z",NA,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA
"HABs-MontereyWharf_2019-04-10T07:00:00Z",NA,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA
"HABs-MontereyWharf_2019-04-17T07:00:00Z",NA,25.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA
"HABs-MontereyWharf_2019-04-24T07:00:00Z",NA,22.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"HABs-MontereyWharf_2019-05-03T07:00:00Z",NA,12.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA
"HABs-MontereyWharf_2019-05-08T07:00:00Z",NA,19.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.77,NA
"HABs-MontereyWharf_2019-05-15T07:00:00Z",NA,39.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,NA
"HABs-MontereyWharf_2019-05-22T07:00:00Z",NA,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA
"HABs-MontereyWharf_2019-05-29T07:00:00Z",NA,26.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA
"HABs-MontereyWharf_2019-06-05T07:00:00Z",NA,26.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA
"HABs-MontereyWharf_2019-06-12T07:00:00Z",NA,0.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.65,NA
"HABs-MontereyWharf_2019-06-19T07:00:00Z",NA,26.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.28,NA
"HABs-MontereyWharf_2019-06-26T07:00:00Z",NA,33.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.87,NA
"HABs-MontereyWharf_2019-07-03T07:00:00Z",NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.45,NA
"HABs-MontereyWharf_2019-07-10T07:00:00Z",NA,31.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.57,NA
"HABs-MontereyWharf_2019-07-17T07:00:00Z",NA,35.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.65,NA
"HABs-MontereyWharf_2019-07-24T07:00:00Z",NA,35.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA
"HABs-MontereyWharf_2019-07-31T07:00:00Z",NA,31.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.62,NA
"HABs-MontereyWharf_2019-08-07T07:00:00Z",NA,20.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,NA
"HABs-MontereyWharf_2019-08-14T07:00:00Z",NA,71.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.85,NA
"HABs-MontereyWharf_2019-08-21T07:00:00Z",NA,24.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.165,NA
"HABs-MontereyWharf_2019-08-28T07:00:00Z",NA,74.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.95,NA
"HABs-MontereyWharf_2019-09-04T07:00:00Z",NA,28.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.25,NA
"HABs-MontereyWharf_2019-09-11T07:00:00Z",NA,17.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.85,NA
"HABs-MontereyWharf_2019-09-18T07:00:00Z",NA,12.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.95,NA
"HABs-MontereyWharf_2019-10-02T07:00:00Z",NA,13.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.59,NA
"HABs-MontereyWharf_2019-10-09T07:00:00Z",NA,42.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.52,NA
"HABs-MontereyWharf_2019-10-16T07:00:00Z",NA,42.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.46,NA
"HABs-MontereyWharf_2019-10-23T07:00:00Z",NA,25.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,NA
"HABs-MontereyWharf_2019-10-20T07:00:00Z",NA,16.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.14,NA
"HABs-MontereyWharf_2019-11-06T08:00:00Z",NA,31.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.215,NA
"HABs-MontereyWharf_2020-01-08T08:00:00Z",NA,8.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.43,NA
"HABs-MontereyWharf_2020-01-15T08:00:00Z",NA,13.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.13,NA
"HABs-MontereyWharf_2020-01-22T08:00:00Z",NA,9.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,NA
"HABs-MontereyWharf_2020-02-05T08:00:00Z",NA,17.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA
"HABs-MontereyWharf_2020-02-12T08:00:00Z",NA,16.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.97,NA
"HABs-MontereyWharf_2020-02-19T08:00:00Z",NA,7.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA
"HABs-MontereyWharf_2020-02-26T08:00:00Z",NA,23.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA
"HABs-MontereyWharf_2020-03-04T08:00:00Z",NA,31.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA
"HABs-MontereyWharf_2020-03-11T07:00:00Z",NA,7.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.17,NA
"HABs-MontereyWharf_2015-01-21T08:00:00Z",NA,NA,NA,NA,NA,NA,NA,1.31,3e-04,NA,NA,0.62,1.14,15,NA
"HABs-MontereyWharf_2016-06-22T07:00:00Z",NA,NA,NA,NA,NA,NA,NA,3.76,NA,NA,NA,0.28,4.44,15.7,NA
"HABs-NewportPier_2008-06-30T07:00:00Z",2.92,2.5,1.05,2.5,2.5,0.8,0.21,1.01,0,0.9,1.2,0.33,3.9,18.5,NA
"HABs-NewportPier_2008-07-08T07:00:00Z",2.38,2.09,1,2.04,2.13,0.44,0,0.44,0,1,1,0.13,2.4,NA,NA
"HABs-NewportPier_2008-07-14T07:00:00Z",3.6,6.56,2.95,5.9,7.21,0.45,0,0.45,0,3,2.9,0.29,5.3,19.5,NA
"HABs-NewportPier_2008-07-21T07:00:00Z",2.37,1.41,0.6,1.44,1.38,0.53,0,0.53,0,0.6,0.6,0.26,4,20,NA
"HABs-NewportPier_2008-07-28T07:00:00Z",3.23,1.64,0.65,1.57,1.71,0.81,0.17,0.98,0,0.6,0.7,0.15,3,22,NA
"HABs-NewportPier_2008-08-04T07:00:00Z",3.43,2.02,0.95,1.98,2.06,0.46,0,0.46,0,0.9,1,0.19,5,23,NA
"HABs-NewportPier_2008-08-11T07:00:00Z",1.26,0.78,1.3,0.07,1.49,0.49,0,0.49,0,2.1,0.5,0.32,5.4,21.5,NA
"HABs-NewportPier_2008-08-18T07:00:00Z",3.24,7.54,0.75,6.81,8.26,0.53,0,0.53,0,1.1,0.4,0.32,5,19.5,NA
"HABs-NewportPier_2008-08-25T07:00:00Z",6.11,4.73,1.55,4.37,5.09,0.89,0.21,1.1,0,1.7,1.4,0.31,3,20,NA
"HABs-NewportPier_2008-09-02T07:00:00Z",2.84,1.82,1.15,1.62,2.01,0.65,0,0.65,0,1.4,0.9,0.18,2.7,22,NA
"HABs-NewportPier_2008-09-08T07:00:00Z",4.09,2.5,0.75,2.51,2.48,0.94,0.31,1.25,0,0.7,0.8,0.16,0,20.5,NA
"HABs-NewportPier_2008-09-16T07:00:00Z",6.56,2.18,1.1,2.03,2.32,1.06,0.22,1.28,0,1,1.2,0.22,2,18,NA
"HABs-NewportPier_2008-09-22T07:00:00Z",3.05,1.28,0.5,1.26,1.3,1.19,0.39,1.58,0,0.7,0.3,0.38,1.5,21,NA
"HABs-NewportPier_2008-09-29T07:00:00Z",2.91,7.41,1.2,7.56,7.26,0.69,0,0.69,NA,1.1,1.3,0.36,3.8,17,NA
"HABs-NewportPier_2008-10-06T07:00:00Z",2.18,2.54,0.85,2.4,2.67,0.44,0,0.44,0,0.8,0.9,0.43,5.62,19,NA
"HABs-NewportPier_2008-10-13T07:00:00Z",5.9,1.94,1.59,1.79,2.08,1.66,0.38,2.04,0,1.41,1.76,0.42,3,15,NA
"HABs-NewportPier_2008-10-20T07:00:00Z",2.5,1.13,0.58,1.12,1.14,0.6,0,0.6,0,0.65,0.5,0.28,2.83,17,NA
"HABs-NewportPier_2008-10-27T07:00:00Z",2.1,1.15,0.53,1.15,1.15,0.57,0,0.57,0,0.58,0.48,0.31,2.46,18,NA
"HABs-NewportPier_2008-11-03T08:00:00Z",2.61,2.18,0.88,2.28,2.08,0.54,0.13,0.67,0,0.99,0.77,0.37,2.64,18,NA
"HABs-NewportPier_2008-11-10T08:00:00Z",2.38,5.07,1.63,4.73,5.41,2.04,0.31,2.35,0,1.47,1.79,0.47,5,16,NA
"HABs-NewportPier_2008-11-17T08:00:00Z",5.55,0.93,0.79,0.97,0.89,8.07,0.96,9.03,0,0.73,0.84,0.32,3.09,17.5,NA
"HABs-NewportPier_2008-11-24T08:00:00Z",1.89,1.06,0.65,0.98,1.13,0.85,0.31,1.16,0,0.66,0.64,0.27,1.16,17.5,NA
"HABs-NewportPier_2008-12-01T08:00:00Z",2.39,3.43,1.15,3.67,3.19,1.09,0,1.09,0,1.11,1.18,0.49,3.62,17,NA
"HABs-NewportPier_2008-12-08T08:00:00Z",1.66,12.21,0.14,12.25,12.17,1,0.32,1.32,0,0.23,0.05,0.29,2.7,17,NA
"HABs-NewportPier_2008-12-15T08:00:00Z",1.84,4.53,1.94,4.48,4.57,1.36,0.35,1.71,0.08,2.03,1.85,0.36,2.91,16,NA
"HABs-NewportPier_2008-12-22T08:00:00Z",1.74,10.42,0.13,10.92,9.91,1.07,0.23,1.3,0,0,0.26,0.46,4.19,15,NA
"HABs-NewportPier_2009-01-07T08:00:00Z",2.2,4.72,1.86,4.52,4.91,0.81,0.13,0.94,0,1.57,2.15,0.4,1.86,14.5,NA
"HABs-NewportPier_2009-01-12T08:00:00Z",1,3.22,1.23,3.42,3.01,1.05,0,1.05,0,1.24,1.21,0.41,1.89,14.5,NA
"HABs-NewportPier_2009-01-19T08:00:00Z",3.12,1.41,0.74,1.36,1.45,0.61,0,0.61,0,0.72,0.76,0.37,3.44,15,NA
"HABs-NewportPier_2009-01-26T08:00:00Z",3.88,5.51,2.63,5.8,5.22,2.21,0.7,2.91,0,2.6,2.66,0.46,3.83,15,NA
"HABs-NewportPier_2009-02-02T08:00:00Z",2.92,3.26,1.83,3.26,3.26,0.32,0.16,0.48,0,1.94,1.71,0.39,3.37,15,NA
"HABs-NewportPier_2009-02-09T08:00:00Z",3.52,1.73,1.58,1.87,1.59,1.58,0.39,1.97,0,1.58,1.58,0.45,2.88,15,NA
"HABs-NewportPier_2009-02-18T08:00:00Z",2.35,2.55,1.34,2.98,2.12,2.26,0.32,2.58,0,1.39,1.29,0.54,5.6,14.5,NA
"HABs-NewportPier_2009-02-23T08:00:00Z",2.48,3.58,0.89,3.54,3.62,1.87,0.28,2.15,0,1.21,0.57,0.51,4.69,14.5,NA
"HABs-NewportPier_2009-03-04T08:00:00Z",4.24,5.63,2,5.02,6.24,4.08,0.34,4.42,0,2.03,1.97,0.68,6.27,14.5,NA
"HABs-NewportPier_2009-03-11T07:00:00Z",2.12,6.9,1.11,6.11,7.68,0.6,0.14,0.74,0,1.51,0.71,0.39,2.55,15,NA
