"NAME","Latitude","Longitude","Poverty","Labor Force","Housing Characteristics","Population Composition","Personal Disruption","Housing Disruption","Retiree Migration","Urban Sprawl","Commercial Engagement","Commercial Reliance","Recreational Engagement","Recreational Reliance","Sea Level Rise Risk","Storm Surge Risk","Poverty Categorical Ranking","Labor Force Categorical Ranking","Housing Characteristics Categorical Ranking","Population Composition Categorical Ranking","Personal Disruption Categorical Ranking","Housing Disruption Categorical Ranking","Retiree Migration Categorical Ranking","Urban Sprawl Categorical Ranking","Commercial Engagement Categorical Ranking","Commercial Reliance Categorical Ranking","Recreational Engagement Categorical Ranking","Recreational Reliance Categorical Ranking","Sea Level Rise Risk Categorical Ranking","Storm Surge Risk Categorical Ranking"
"Capitola",36.9760826,-121.954012,"-0.052","-0.377","-0.235","-0.084","-0.458","-0.036","-0.221","1.488","-0.153","-0.088","N/A","N/A","-0.294","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Scotts Valley",37.0554998,-122.0117687,"-0.804","-0.307","-0.997","-0.427","-0.863","-0.295","-0.109","1.256","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Crescent City",41.7645143,-124.2007785,"2.237","1.499","0.727","0.282","2.124","-0.499","0.53","-1.245","2.887","0.316","N/A","N/A","-0.228","N/A",4,4,3,2,4,1,3,1,4,2,0,0,1,0
"Hayward",37.6286591,-122.1024054,"0.057","-0.598","-0.364","1.556","-0.038","0.539","-0.713","0.827","-0.157","-0.088","N/A","N/A","4.03","N/A",2,1,1,4,1,3,1,3,1,1,0,0,4,0
"Livermore",37.6854667,-121.7625177,"-0.592","-0.886","-1.086","0.069","-0.649","0.249","-0.714","0.989","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Pleasanton",37.6671852,-121.8812304,"-0.671","-0.518","-1.573","0.085","-0.866","0.093","-0.641","1.205","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,4,1,1,0,0,1,0
"Blue Lake",40.8832008,-123.9947163,"0.054","0.036","0.558","-0.75","0.231","0.674","0.345","-1.252","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,2,3,1,2,3,2,1,1,1,0,0,1,0
"Fortuna",40.5854086,-124.1429042,"0.156","0.187","0.444","-0.146","0.243","0.524","-0.008","-1.359","-0.145","-0.088","N/A","N/A","-0.309","N/A",2,2,2,1,2,3,1,1,1,1,0,0,1,0
"Rio Dell",40.4955909,-124.1149295,"-0.581","0.295","0.56","-0.545","0.524","0.78","-0.074","-1.497","-0.157","-0.088","N/A","N/A","-0.308","N/A",1,2,3,1,3,3,1,1,1,1,0,0,1,0
"Trinidad",41.0577077,-124.143255,"0.566","-0.283","-0.472","-0.689","-0.206","2.486","0.482","-0.963","0.644","2.494","N/A","N/A","-0.239","N/A",3,1,1,1,1,4,2,1,3,4,0,0,1,0
"Ferndale",40.5798913,-124.2619085,"-0.111","0.644","-0.194","-0.859","-0.414","1.348","0.739","-1.298","-0.153","-0.087","N/A","N/A","-0.309","N/A",1,3,1,1,1,4,3,1,1,1,0,0,1,0
"Arcata",40.8622906,-124.0749668,"0.547","-0.505","0.561","-0.65","1.192","0.819","-0.87","-1.147","-0.072","-0.084","N/A","N/A","0.765","N/A",3,1,3,1,4,3,1,1,1,1,0,0,3,0
"Eureka",40.7934006,-124.1552459,"0.569","-0.072","0.365","0.044","0.683","1.443","-0.197","-1.296","2.4","-0.002","N/A","N/A","0.442","N/A",3,1,2,2,3,4,1,1,4,1,0,0,2,0
"Redondo Beach",33.8568174,-118.3771371,"-0.637","-1.007","-1.075","-0.068","-0.674","0.807","-0.963","1.82","0.228","-0.083","N/A","N/A","-0.299","N/A",1,1,1,1,1,3,1,4,2,1,0,0,1,0
"Torrance",33.8349663,-118.3414307,"-0.468","-0.328","-0.625","0.732","-0.565","0.482","-0.354","1.418","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,2,1,4,1,1,0,0,1,0
"Belmont",37.5143975,-122.2944751,"-0.779","-0.566","-1.561","0.097","-0.783","0.515","-0.536","2.319","-0.157","-0.088","N/A","N/A","-0.198","N/A",1,1,1,2,1,3,1,4,1,1,0,0,1,0
"Burlingame",37.5899515,-122.3633425,"-0.555","-0.968","-1.34","0.277","-0.663","0.587","-0.9","2.89","-0.157","-0.088","N/A","N/A","0.325","N/A",1,1,1,2,1,3,1,4,1,1,0,0,2,0
"Daly City",37.700835,-122.500791,"-0.322","-0.587","-0.821","1.521","-0.13","0.346","-0.223","2.105","-0.157","-0.088","N/A","N/A","-0.308","N/A",1,1,1,4,1,2,1,4,1,1,0,0,1,0
"San Carlos",37.4954625,-122.2667954,"-0.848","-0.916","-1.686","-0.178","-0.872","0.535","-0.798","2.451","-0.153","-0.088","N/A","N/A","0.129","N/A",1,1,1,1,1,3,1,4,1,1,0,0,2,0
"South San Francisco",37.6551037,-122.3762341,"-0.37","-0.563","-0.809","1.166","-0.394","0.432","-0.22","1.742","-0.104","-0.088","N/A","N/A","0.047","N/A",1,1,1,4,1,2,1,4,1,1,0,0,2,0
"Woodside",37.4221552,-122.2590839,"-0.665","0.243","-2.097","-0.774","-0.873","-1.077","0.022","2.532","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Brea",33.9251776,-117.8651109,"-0.51","-0.715","-0.734","0.56","-0.397","0.623","-0.653","0.785","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,3,1,1,0,0,1,0
"Irvine",33.6783986,-117.7712541,"-0.216","-0.529","-1.073","0.644","-0.404","1.052","-1.151","1.094","-0.157","-0.088","N/A","N/A","-0.3","N/A",1,1,1,3,1,4,1,4,1,1,0,0,1,0
"La Habra",33.927927,-117.951554,"0.044","-0.577","-0.231","1.381","0.255","0.964","-0.648","1.06","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,4,1,1,0,0,1,0
"Stanton",33.8002548,-117.9934483,"0.673","-0.368","0.161","2.002","0.862","0.464","-0.736","1.162","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,2,1,4,1,1,0,0,1,0
"Ojai",34.4482528,-119.2465775,"-0.521","0.219","-0.643","-0.681","-0.402","1.187","0.302","0.754","-0.145","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,4,2,3,1,1,0,0,1,0
"Simi Valley",34.2668875,-118.7484575,"-0.452","-0.541","-1","0.104","-0.439","0.541","-0.47","0.764","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,3,1,1,0,0,1,0
"Thousand Oaks",34.1932896,-118.874235,"-0.614","-0.293","-1.182","-0.159","-0.535","0.17","-0.214","0.93","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Piedmont",37.8225436,-122.2300249,"-0.89","-0.045","-2.76","-0.655","-1.089","-0.098","0.02","2.719","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,2,4,1,1,0,0,1,0
"Temecula",33.4930818,-117.1317297,"-0.39","-0.486","-0.909","0.295","-0.313","0.316","-0.691","N/A","-0.153","-0.088","N/A","N/A","N/A","N/A",1,1,1,2,1,2,1,0,1,1,0,0,0,0
"Petaluma",38.2422531,-122.6286306,"-0.277","-0.493","-0.657","-0.064","-0.356","0.193","-0.238","0.958","-0.1","-0.088","N/A","N/A","-0.186","N/A",1,1,1,1,1,2,1,3,1,1,0,0,1,0
"Santa Rosa",38.4468158,-122.7061361,"-0.087","-0.383","-0.249","0.443","-0.054","-0.009","-0.302","0.817","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,1,1,3,1,1,0,0,1,0
"La Palma",33.8506159,-118.0395647,"-0.494","0.061","-0.851","1.004","-0.447","0.055","0.188","1.225","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,4,1,2,2,4,1,1,0,0,1,0
"Los Alamitos",33.7968831,-118.061039,"-0.082","-0.447","-0.604","0.547","-0.198","0.601","-0.389","0.91","-0.157","-0.088","N/A","N/A","-0.303","N/A",1,1,1,3,1,3,1,3,1,1,0,0,1,0
"Mission Viejo",33.6093352,-117.656471,"-0.588","-0.347","-1.249","-0.088","-0.636","0.251","-0.18","1.002","-0.141","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Rancho Santa Margarita",33.6323536,-117.5990075,"-0.642","-1.205","-1.075","0.052","-0.803","0.378","-1.391","0.812","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"San Clemente",33.4491445,-117.6131194,"-0.664","-0.318","-1.168","-0.393","-0.697","1.097","-0.32","1.06","-0.145","-0.088","N/A","N/A","-0.308","N/A",1,1,1,1,1,4,1,4,1,1,0,0,1,0
"Seal Beach",33.751918,-118.0732505,"-0.539","1.04","-0.672","-0.453","-0.717","-1.275","1.484","0.359","-0.13","-0.087","N/A","N/A","0.347","N/A",1,4,1,1,1,1,4,2,1,1,0,0,2,0
"Villa Park",33.8180671,-117.8102948,"-0.611","0.862","-3.179","-0.585","-0.614","-0.2","0.771","1.351","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,3,1,1,1,1,3,4,1,1,0,0,1,0
"Aliso Viejo",33.5792186,-117.728915,"-0.696","-1.409","-0.994","0.197","-0.726","0.378","-1.489","1.071","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,4,1,1,0,0,1,0
"Huntington Beach",33.6905687,-118.00933,"-0.339","-0.533","-0.784","0.008","-0.455","0.601","-0.405","1.285","-0.018","-0.088","N/A","N/A","1.883","N/A",1,1,1,2,1,3,1,4,1,1,0,0,4,0
"Tustin",33.7309366,-117.8105923,"0.127","-0.96","-0.503","1.136","0.078","0.329","-1.186","1.109","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,2,1,4,1,1,0,0,1,0
"Buena Park",33.8573527,-118.0073733,"0.214","-0.512","-0.486","1.585","0.065","1.317","-0.616","1.04","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,4,1,1,0,0,1,0
"Dana Point",33.4632594,-117.7130166,"-0.465","-0.267","-1.158","-0.397","-0.619","0.851","-0.105","1.292","0.784","-0.064","N/A","N/A","-0.293","N/A",1,1,1,1,1,3,1,4,3,1,0,0,1,0
"Fountain Valley",33.7105823,-117.951129,"-0.267","-0.065","-0.989","0.561","-0.403","0.813","0.061","1.117","-0.149","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,2,4,1,1,0,0,1,0
"Laguna Beach",33.542891,-117.7624901,"-0.702","-0.223","-1.555","-0.825","-0.566","0.832","-0.252","2.175","-0.157","-0.088","N/A","N/A","-0.307","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"Laguna Hills",33.5915227,-117.6994074,"-0.26","-0.58","-1.093","0.216","-0.424","0.102","-0.6","0.972","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Laguna Woods",33.6129246,-117.731443,"1.799","3.31","-0.063","-0.505","-0.622","2.76","3.428","0.506","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,4,1,1,1,4,4,3,1,1,0,0,1,0
"Lake Forest",33.6549461,-117.6758479,"-0.419","-0.952","-0.826","0.359","-0.428","0.12","-0.914","0.913","-0.126","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Clayton",37.9403195,-121.9300757,"-0.922","-0.324","-1.89","-0.498","-0.97","-0.134","-0.111","1.008","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"El Cerrito",37.9196297,-122.3025159,"-0.462","-0.442","-0.834","0.47","-0.436","1.313","-0.333","1.381","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Hercules",38.0214271,-122.288929,"-0.66","-0.698","-1.109","0.931","-0.72","0.253","-0.425","0.763","-0.157","-0.088","N/A","N/A","-0.282","N/A",1,1,1,3,1,2,1,3,1,1,0,0,1,0
"Moraga",37.8456927,-122.123217,"-0.845","0.223","-1.722","-0.447","-1.007","N/A","0.323","7.006","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,0,2,4,1,1,0,0,1,0
"Anaheim",33.8230092,-118.0176849,"0.389","-0.614","-0.305","1.463","0.429","0.811","-0.833","0.984","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,3,1,3,1,1,0,0,1,0
"Costa Mesa",33.6659055,-117.9123358,"0.077","-1.032","-0.516","0.444","-0.077","1.169","-1.19","1.254","-0.138","-0.088","N/A","N/A","-0.279","N/A",2,1,1,2,1,4,1,4,1,1,0,0,1,0
"Cypress",33.8184768,-118.0383074,"-0.538","-0.331","-0.83","0.831","-0.609","0.621","-0.299","1.051","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Fullerton",33.8857144,-117.9280246,"-0.054","-0.484","-0.478","1.003","0.085","1.215","-0.678","1.06","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,4,2,4,1,4,1,1,0,0,1,0
"Garden Grove",33.7787816,-117.9604719,"0.377","-0.367","-0.235","1.749","0.401","1.022","-0.543","1.197","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,4,1,4,1,1,0,0,1,0
"Laguna Niguel",33.5288675,-117.7011753,"-0.365","-0.492","-1.321","-0.163","-0.547","0.135","-0.482","1.132","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Orange",33.8287595,-117.7851071,"0.01","-0.516","-0.741","0.599","-0.016","0.793","-0.674","0.983","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,1,3,1,3,1,1,0,0,1,0
"Placentia",33.8811581,-117.8547827,"-0.284","-0.586","-0.807","0.723","-0.203","0.669","-0.472","1.088","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"San Juan Capistrano",33.5008946,-117.6543971,"-0.345","0.078","-1.023","0.254","-0.333","0.68","0.024","0.772","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,2,1,3,2,3,1,1,0,0,1,0
"Santa Ana",33.736332,-117.8829516,"0.781","-0.607","-0.029","2.357","0.942","0.67","-0.995","1.285","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,1,4,3,3,1,4,1,1,0,0,1,0
"Westminster",33.7522888,-117.9938733,"0.495","-0.029","-0.201","1.601","0.291","0.97","-0.139","1.253","-0.157","-0.088","N/A","N/A","-0.306","N/A",2,1,1,4,2,3,1,4,1,1,0,0,1,0
"Yorba Linda",33.8869705,-117.77259,"-0.652","-0.327","-1.487","-0.067","-0.74","0.604","-0.182","1.023","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,3,1,4,1,1,0,0,1,0
"Santa Paula",34.352314,-119.0688457,"0.391","-0.229","0.124","1.727","0.804","0.089","-0.362","0.721","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,3,2,1,3,1,1,0,0,1,0
"Chino Hills",33.9429693,-117.7256483,"-0.471","-0.499","-1.083","0.753","-0.453","0.386","-0.812","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,1,1,3,1,2,1,0,1,1,0,0,0,0
"Brentwood",37.9355674,-121.7189666,"-0.481","-0.108","-1.353","0.132","-0.365","0.508","-0.155","0.769","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,3,1,1,0,0,1,0
"Redwood City",37.5152736,-122.2136716,"-0.217","-0.929","-1.169","0.731","-0.296","0.276","-0.951","1.965","-0.076","-0.087","N/A","N/A","4.062","N/A",1,1,1,3,1,2,1,4,1,1,0,0,4,0
"San Rafael",37.9810032,-122.5069297,"-0.148","-0.503","-0.896","0.51","-0.305","-0.33","-0.428","1.573","0.03","-0.086","N/A","N/A","1.016","N/A",1,1,1,3,1,1,1,4,2,1,0,0,4,0
"Carmel-by-the-Sea",36.5529458,-121.9218892,"-0.426","1.476","-0.909","-0.794","-1.006","0.515","1.524","1.307","-0.141","-0.087","N/A","N/A","-0.306","N/A",1,4,1,1,1,3,4,4,1,1,0,0,1,0
"Del Rey Oaks",36.5825013,-121.8297974,"-0.643","-0.314","-0.995","-0.375","-0.429","0.238","0.23","0.303","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,2,2,1,1,0,0,1,0
"Gonzales",36.505979,-121.442918,"0.316","-0.244","0.245","2.033","0.272","-0.447","-1.075","-0.02","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,2,4,2,1,1,1,1,1,0,0,1,0
"Greenfield",36.3233901,-121.24475,"0.532","-0.333","0.042","3.135","0.627","1.35","-1.187","-0.054","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,4,1,1,1,1,0,0,1,0
"Winters",38.5332708,-121.975473,"-0.069","-0.687","-0.153","0.358","0.081","0.39","-0.921","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",1,1,1,2,2,2,1,0,1,1,0,0,0,0
"Fairfield",38.2592897,-122.0320951,"-0.157","-0.386","-0.445","0.946","-0.017","-0.005","-0.415","0.476","-0.157","-0.088","N/A","N/A","-0.255","N/A",1,1,1,3,1,1,1,2,1,1,0,0,1,0
"Vacaville",38.3586211,-121.9686015,"-0.275","-0.189","-0.498","0.286","-0.18","0.149","-0.11","0.534","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Ukiah",39.146614,-123.2103259,"0.558","0.013","0.298","0.607","0.667","0.772","-0.303","-0.695","-0.126","-0.087","N/A","N/A","-0.309","N/A",3,2,2,3,3,3,1,1,1,1,0,0,1,0
"Coronado",32.6572021,-117.1561371,"-0.613","0.842","-1.51","-0.538","-0.825","0.465","0.564","2.169","-0.129","-0.087","N/A","N/A","-0.1","N/A",1,3,1,1,1,2,3,4,1,1,0,0,1,0
"Escondido",33.1330533,-117.074043,"0.246","-0.472","-0.137","1.144","0.179","0.389","-0.665","0.709","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,2,1,3,1,1,0,0,1,0
"Imperial Beach",32.5653537,-117.1145672,"0.859","-0.216","-0.001","1.081","0.679","1.944","-0.636","0.941","-0.13","-0.087","N/A","N/A","0.07","N/A",3,1,1,4,3,4,1,3,1,1,0,0,2,0
"Marina",36.6802616,-121.7893615,"-0.181","-0.321","0.02","1.104","0.101","-0.13","-0.318","0.111","-0.141","-0.088","N/A","N/A","-0.307","N/A",1,1,2,4,2,1,1,2,1,1,0,0,1,0
"Sand City",36.6219032,-121.8475249,"-0.028","-0.478","0.069","-0.055","0.41","0.178","-0.821","0.152","-0.157","-0.088","N/A","N/A","-0.308","N/A",1,1,2,1,2,2,1,2,1,1,0,0,1,0
"Seaside",36.625243,-121.8239422,"0.354","-0.418","-0.251","1.3","0.245","0.206","-0.58","0.164","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,4,2,2,1,2,1,1,0,0,1,0
"Soledad",36.4379099,-121.3156119,"0.156","0.857","0.025","1.694","0.576","-0.191","-0.259","-0.049","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,3,2,4,3,1,1,1,1,1,0,0,1,0
"Oakland",37.7698464,-122.22569,"0.665","-0.77","-0.26","1.125","0.407","1.521","-0.882","1.362","-0.13","-0.088","N/A","N/A","1.41","N/A",3,1,1,4,2,4,1,4,1,1,0,0,4,0
"Carson",33.840367,-118.2495736,"-0.069","-0.188","-0.263","1.588","0.211","0.486","0.038","0.781","-0.157","-0.088","N/A","N/A","-0.297","N/A",1,1,1,4,2,2,2,3,1,1,0,0,1,0
"Lemon Grove",32.7330714,-117.0344138,"0.069","-0.167","-0.139","0.935","0.466","0.882","-0.275","0.886","-0.157","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,2,3,1,3,1,1,0,0,1,0
"Chula Vista",32.6276701,-117.0151696,"0.032","-0.339","-0.418","1.426","0.355","0.866","-0.511","0.84","-0.126","-0.088","N/A","N/A","-0.266","N/A",2,1,1,4,2,3,1,3,1,1,0,0,1,0
"San Diego",32.8152995,-117.134993,"0.062","-0.578","-0.393","0.622","0.035","0.862","-0.789","0.942","4.259","-0.086","N/A","N/A","0.006","N/A",2,1,1,3,2,3,1,3,4,1,0,0,2,0
"Sausalito",37.8583694,-122.4918436,"-0.789","-0.615","-1.447","-0.873","-0.879","-0.4","-0.438","2.098","-0.076","-0.078","N/A","N/A","-0.139","N/A",1,1,1,1,1,1,1,4,1,1,0,0,1,0
"Orinda",37.8816114,-122.1685912,"-0.836","0.013","-2.26","-0.612","-0.996","-0.065","0.149","1.641","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,1,1,1,2,4,1,1,0,0,1,0
"Pinole",38.0017019,-122.318488,"-0.686","-0.272","-0.693","0.884","-0.349","0.056","0.205","0.714","-0.13","-0.087","N/A","N/A","-0.297","N/A",1,1,1,3,1,2,2,3,1,1,0,0,1,0
"Richmond",37.9522779,-122.360609,"0.323","-0.516","-0.189","1.538","0.49","0.917","-0.638","0.704","0.11","-0.086","N/A","N/A","0.207","N/A",2,1,1,4,2,3,1,3,2,1,0,0,2,0
"San Pablo",37.9628505,-122.3425736,"0.703","-0.509","0.263","2.178","0.652","-0.019","-0.943","1.214","-0.157","-0.088","N/A","N/A","-0.309","N/A",3,1,2,4,3,1,1,4,1,1,0,0,1,0
"Lafayette",37.891004,-122.1195292,"-0.892","-0.289","-1.82","-0.507","-0.818","0.257","-0.391","1.619","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,2,1,4,1,1,0,0,1,0
"Montclair",34.0714521,-117.698054,"0.534","-0.369","0.104","1.771","0.885","0.69","-0.728","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",3,1,2,4,3,3,1,0,1,1,0,0,0,0
"Bradbury",34.1531592,-117.9688184,"-0.126","0.245","-3.054","0.633","-0.696","0.12","0.254","1.983","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,3,1,2,2,4,1,1,0,0,1,0
"Healdsburg",38.6225714,-122.8656918,"-0.59","-0.201","-0.664","-0.09","-0.497","1.237","0.175","0.749","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,1,1,4,2,3,1,1,0,0,1,0
"Windsor",38.5420993,-122.8086133,"-0.71","-0.694","-0.826","0.065","-0.314","0.046","-0.446","0.742","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,2,1,3,1,1,0,0,1,0
"Fort Bragg",39.4410694,-123.8036201,"0.665","0.049","0.427","0.7","0.703","0.916","-0.086","-1.112","1.831","0.145","N/A","N/A","-0.298","N/A",3,2,2,3,3,3,1,1,4,2,0,0,1,0
"El Cajon",32.8016713,-116.9603972,"1.094","-0.164","0.058","0.908","0.677","0.695","-0.635","1.004","-0.153","-0.088","N/A","N/A","-0.309","N/A",4,1,2,3,3,3,1,4,1,1,0,0,1,0
"Encinitas",33.0506323,-117.2636163,"-0.513","-0.381","-1.051","-0.494","-0.597","1.2","-0.384","1.278","-0.157","-0.088","N/A","N/A","-0.239","N/A",1,1,1,1,1,4,1,4,1,1,0,0,1,0
"La Mesa",32.7694947,-117.0219232,"-0.076","-0.454","-0.184","0.334","-0.044","1.013","-0.485","1.024","-0.149","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,4,1,4,1,1,0,0,1,0
"Oceanside",33.2245056,-117.3062401,"0.003","-0.246","-0.403","0.455","-0.051","0.846","-0.227","0.763","0.94","-0.083","N/A","N/A","-0.291","N/A",2,1,1,2,1,3,1,3,3,1,0,0,1,0
"Poway",32.9876765,-117.0218144,"-0.462","-0.368","-0.86","0.097","-0.447","0.674","-0.284","0.654","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,2,1,3,1,3,1,1,0,0,1,0
"San Marcos",33.1338931,-117.169367,"-0.116","-0.493","-0.509","0.795","-0.112","1.122","-0.697","0.757","-0.153","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,3,1,1,0,0,1,0
"Alameda",37.7419107,-122.2599139,"-0.254","-0.679","-0.739","0.53","-0.387","0.609","-0.655","1.572","0.086","-0.086","N/A","N/A","1.434","N/A",1,1,1,3,1,3,1,4,2,1,0,0,4,0
"Albany",37.8906499,-122.3181164,"-0.389","-0.903","-0.763","0.708","-0.484","0.688","-1.008","1.847","-0.157","-0.088","N/A","N/A","-0.219","N/A",1,1,1,3,1,3,1,4,1,1,0,0,1,0
"Berkeley",37.8669717,-122.2991474,"-0.383","-0.445","-0.658","-0.164","-0.115","1.052","-0.628","2.123","1.108","-0.079","N/A","N/A","-0.272","N/A",1,1,1,1,1,4,1,4,4,1,0,0,1,0
"Dublin",37.7161535,-121.8962343,"-0.69","-0.929","-1.692","0.607","-0.748","1.153","-1.286","1.221","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,1,1,3,1,4,1,4,1,1,0,0,1,0
"Emeryville",37.8399065,-122.2989635,"0.427","-1.064","-0.417","0.131","-0.373","2.289","-1.227","1.311","-0.13","-0.086","N/A","N/A","-0.244","N/A",2,1,1,2,1,4,1,4,1,1,0,0,1,0
"Vista",33.1895322,-117.2386266,"0.227","-0.659","-0.237","0.934","0.061","0.616","-0.901","0.855","-0.141","-0.088","N/A","N/A","-0.309","N/A",2,1,1,3,2,3,1,3,1,1,0,0,1,0
"Newark",37.5045144,-122.0329158,"-0.281","-0.607","-0.905","0.958","-0.516","0.23","-0.654","1.016","-0.157","-0.088","N/A","N/A","2.975","N/A",1,1,1,3,1,2,1,4,1,1,0,0,4,0
"San Leandro",37.7033683,-122.163036,"-0.11","-0.557","-0.302","1.394","0.026","0.645","-0.452","1.124","-0.126","-0.088","N/A","N/A","0.081","N/A",1,1,1,4,2,3,1,4,1,1,0,0,2,0
"Union City",37.6029595,-122.0187225,"-0.266","-0.37","-0.865","1.135","-0.453","0.272","-0.387","1.061","-0.157","-0.088","N/A","N/A","0.712","N/A",1,1,1,4,1,2,1,4,1,1,0,0,3,0
"Fremont",37.5010483,-122.0839341,"-0.497","-0.61","-1.081","0.924","-0.682","0.516","-0.922","1.238","-0.13","-0.088","N/A","N/A","5.019","N/A",1,1,1,3,1,3,1,4,1,1,0,0,4,0
"Napa",38.2972195,-122.3011697,"-0.318","-0.599","-0.482","0.495","-0.312","0.781","-0.328","0.984","-0.149","-0.088","N/A","N/A","0.171","N/A",1,1,1,2,1,3,1,3,1,1,0,0,2,0
"St. Helena",38.504045,-122.4677325,"-0.384","0.271","-0.875","0.26","-0.368","0.589","0.329","1.105","-0.157","-0.088","N/A","N/A","-0.309","N/A",1,2,1,2,1,3,2,4,1,1,0,0,1,0
"King City",36.2162833,-121.1319616,"1.211","0.022","0.525","3.064","0.761","-0.415","-1.11","-0.536","-0.157","-0.088","N/A","N/A","-0.309","N/A",4,2,3,4,3,1,1,1,1,1,0,0,1,0
"Upland",34.1160731,-117.6599224,"0.093","-0.45","-0.37","0.691","0.067","0.513","-0.536","N/A","-0.157","-0.088","N/A","N/A","N/A","N/A",2,1,1,3,2,3,1,0,1,1,0,0,0,0
